New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Wed Apr 17 21:55:20 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_MS2	Total_MS3	Unique_MS2	Unique_MS3	Corrected_MS2	Corrected_MS3	PSMs_Used_MS2	TotInt_126C_MS2	TotInt_127N_MS2	TotInt_127C_MS2	TotInt_128N_MS2	TotInt_128C_MS2	TotInt_129N_MS2	TotInt_129C_MS2	TotInt_130N_MS2	TotInt_130C_MS2	TotInt_131N_MS2	TotInt_131C_MS2	PSMs_Used_MS3	TotInt_126C_MS3	TotInt_127N_MS3	TotInt_127C_MS3	TotInt_128N_MS3	TotInt_128C_MS3	TotInt_129N_MS3	TotInt_129C_MS3	TotInt_130N_MS3	TotInt_130C_MS3	TotInt_131N_MS3	TotInt_131C_MS3
14	1	CONT_049|gi|88052|pir||A32568	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	29.9	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	51	4	0.078	28	23	1	3	8.502	8.121	1	5518.118652	7551.052734000001	5200.229492	6324.54834	7887.430664	6665.084473	7305.970703	6409.560547	6761.981445	8459.21582	291.34301800000003	3	13913.389649	11431.327881000001	8494.313355	13670.923339	13048.374267	9311.717774	14547.42212	13480.553712	13826.14209	15588.769043	150.0
15	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	11.7	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	27	1	0.037	17	10	1	0	1.210	0.171	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	60.2	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	138	91	0.659	77	61	52	39	68.966	55.018	52	2415206.535523	1484096.4021619998	1065139.9764420004	2265668.589598	1420654.6700459998	1583364.6035199997	1550463.6543580003	1319083.9893839995	1509874.5147699998	2741655.789306999	20177.888458	39	2040121.2564080001	1246861.5390030001	918332.4048449999	1938252.292969	1234568.8516830003	1299574.5457139998	1239638.8077409999	996943.2043770001	1223814.7656280003	2449181.136842	11617.634155000002
17	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	61.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	105	101	0.962	66	39	64	37	64.882	37.882	64	1782651.5198070002	2622396.4784299997	1292209.2569099993	2601458.530088	2285938.607210999	2215146.0021680007	2069109.1024500004	3589874.8955090013	3668699.5949049997	2641682.254148	38497.34897	37	1964242.0042120004	2809764.7468280005	1403257.078672	2895276.717652	2555286.0343030007	2523289.0524890004	2146808.967712	3917906.5446780003	3961242.198975	3060186.529421	38168.904328000004
18	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	11.0	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	32	2	0.062	17	15	1	1	1.369	1.246	1	18476.720703	15506.594727000002	14859.668945	20189.609375	21366.236328	15794.762695	17603.601562	23103.242188	18582.121094	18846.730469	150.0	1	15279.300781	14292.460938	11803.72168	15910.992188	16768.423828	13985.538086000002	14344.910156	14784.432616999999	15380.864258000001	16931.160156	443.19375599999995
20	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	4.0	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	4	1	0.250	2	2	0	1	0.015	1.008	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	95925.429688	102457.460938	83699.835938	136134.734375	104580.929688	137030.625	133077.875	103353.929688	106321.78125	101009.125	150.0
21	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	32.7	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	64	6	0.094	36	28	3	3	14.404	10.802	3	62417.82910100001	78924.220703	43625.563477	82832.916015	84002.226562	69143.533203	71561.509765	81600.369141	86785.114258	164754.992188	1195.6313480000001	3	20343.570557	20411.209716999998	10688.617676000002	23649.437988	24942.391601	19496.366943	20217.016602	24407.901123	28740.42871	53503.448242	516.182434
22	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	46.6	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	60	12	0.200	37	23	7	5	16.158	10.634	7	247746.800904	367979.272337	186916.83435	350866.463746	307537.34606999997	278966.500976	246537.601929	257428.58569299997	332706.52868700004	427879.97497499996	3406.4996950000004	5	62953.159178999995	99902.544922	47500.559570000005	91975.907716	77586.963379	79443.57958900002	61709.03125	70873.61328	81997.25293	111430.35937399999	3844.244903
27	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	28.5	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	27	6	0.222	16	11	3	3	5.543	4.316	3	11319.479981	27949.171387000002	10589.549561	18929.913575000002	28660.449707	21974.807617	12990.67456	13538.721925	14664.324950000002	43016.260742	150.0	3	10600.806518000001	27098.380615000002	10690.924683000001	19903.283447	31093.912109	20155.660889000002	13702.655518	15600.350464000001	14431.202270999998	44573.427734	150.0
28	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	13.8	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	26	1	0.038	15	11	0	1	0.178	1.153	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	6.1	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	6	1	0.167	3	3	0	1	0.029	1.020	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	22079.285156	30761.384766000003	24409.488281	24894.382812	33626.546875	28076.828125	28171.560547000005	26478.740234	23166.255859	23425.013672	475.98962400000005
30	1	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP (+3)	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP&CONT_138|gi|71531|pir||KRSHL1&CONT_146|gi|2119208|pir||I37459&CONT_152|gi|2135530|pir||S60034	 	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	3.9	412	46674	KERATIN, TYPE I MICROFIBRILLAR 48 KD, COMPONENT 8C-1 (LOW-SULFUR KERATIN) [Ovis aries].	6	3	0.500	2	4	0	3	0.045	3.023	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	329106.645508	315261.033203	334573.661133	357561.9375	370277.438477	337247.054688	381248.947266	366091.715821	332762.770508	340782.588867	10124.163086
32	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	33.5	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	58	0	0.000	32	26	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	1	CONT_142|gi|88053|pir||A29666	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	8.6	629	64447	keratin, 65K type II cytoskeletal [Homo sapiens].	31	0	0.000	16	15	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	41.9	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	54	15	0.278	33	21	9	6	15.447	10.542	9	111164.515135	165516.818849	77961.00695899999	160441.700439	202775.229005	125945.956055	107522.452148	113765.07019000001	142781.26464699997	187967.099608	2331.415252	6	66177.746094	94572.705567	41455.700318	87197.763672	103211.07250899999	58053.20507900001	53773.129761000004	57435.630616999995	76077.66674700001	90408.67187399999	694.118134
36	1	CONT_167|gi|1668744|gnl|PID|e195475	 	 	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475	contaminant	4.2	425	47570	(X90763) HHa5 hair keratin type I intermediate filament [Homo sapiens].	4	1	0.250	3	1	1	0	1.015	0.008	1	50768.226562	33447.652344	51317.332031	43118.332031	51106.976562	46153.160156	54036.87109400001	50909.0625	48314.011719	40498.398438	1615.390015	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	1	EXTRA_0001	 	 	 	 	71.2	434	47168	[sp|P06733|ENOA_HUMAN] Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	282	282	1.000	175	107	175	107	175.000	107.000	175	2368372.5799899995	43021801.00129101	5124584.243592001	5485385.193363998	7617716.012969995	6570666.860295	11017195.466249	96646209.66528805	2307011.2946209987	12451691.045659997	52009.87863099999	107	354754.733522	49278068.647344	2538015.7594470005	3531052.2165199993	6113725.291076001	4355281.067627001	10480364.618533999	117905223.51977497	381040.52755699994	12152281.030944	5874.151775
38	1	EXTRA_0002	 	 	 	 	48.8	322	34735	[sp|P05089|ARGI1_HUMAN] Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2	82	82	1.000	52	30	52	30	52.000	30.000	52	1089301.782044	474924.050477	15388332.569824997	688496.837461	2446100.28137	346334.46966600005	8278122.822265001	428594.446628	1923226.0493190002	967336.0819119997	15397.45526	30	623846.9032909998	107640.573091	11560746.802491998	285454.636199	1525829.977172	21858.169281000002	6029315.518431	50865.52447499999	1188881.180724	527086.0947570001	18763.717193
39	1	EXTRA_0003	 	 	 	 	52.3	132	14719	[sp|P15090|FABP4_HUMAN] Fatty acid-binding protein, adipocyte OS=Homo sapiens OX=9606 GN=FABP4 PE=1 SV=3	55	55	1.000	35	20	35	20	35.000	20.000	35	750587.8913249997	416077.569319	415832.86145400006	4267604.130125999	644591.2480160001	491665.353792	470524.67532499984	548364.5690930001	8023919.593753	872655.5462940002	242507.359985	20	517683.81445199996	214383.164126	219184.736909	3862132.9033210003	88972.776184	270310.672669	211757.940124	248963.13000399995	7376131.699220001	628657.499878	238389.163834
40	1	EXTRA_0004	 	 	 	 	51.2	160	18697	[sp|Q15185|TEBP_HUMAN] Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1	57	57	1.000	33	24	33	24	33.000	24.000	33	5286570.364504	219466.14672800005	822426.769594	692878.2601979999	1286821.524414	393866.870605	266137.75335799996	1438598.1655270003	467371.89172600006	11536752.221191	150.0	24	4421447.23938	36896.98398	599957.514558	453220.654663	944990.520143	233969.805665	86640.479523	1056684.3702409999	277330.342439	9854924.717896	150.0
