PAW protein_summary_9 results file
written: Wed Apr 17 21:55:00 2019

 	=subtotal(109,B6:B2339)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
15.0	1	CONT_050|gi|280816|pir||A37343	contaminant	11.7	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	27	1	0.037	17	10	1	0	1.942	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313
15.01	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	10.7	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	27	1	0.037	17	10	1	0	1.942	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313
16.0	1	CONT_064|gi|254622|bbs|112352	contaminant	60.2	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	138	91	0.659	77	61	52	39	72.619	56.896	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
16.01	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	60.2	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	138	91	0.659	77	61	52	39	72.619	56.896	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
17.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	61.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	105	101	0.962	66	39	64	37	65.280	38.104	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313
18.0	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	contaminant	11.0	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	32	2	0.062	17	15	1	1	1.421	1.303	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
19.0	1	CONT_071|gi|181400	contaminant	9.5	483	53689	(M34225) cytokeratin 8 [Homo sapiens].	22	1	0.045	12	10	0	1	0.250	1.681	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
20.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	4.0	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	4	1	0.250	2	2	0	1	0.000	1.029	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
20.01	1	CONT_077|gi|106851|pir||S06889	redundant	4.0	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	4	1	0.250	2	2	0	1	0.000	1.029	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
21.0	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	contaminant	32.7	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	64	6	0.094	36	28	3	3	18.498	10.088	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
22.0	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	contaminant	46.6	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	60	12	0.200	37	23	7	5	17.789	11.092	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
23.0	1	CONT_083|gi|386849	contaminant	35.2	563	59952	(L00205) keratin type II [Homo sapiens].	47	1	0.021	25	22	0	1	3.667	11.102	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
23.01	1	CONT_139|gi|71533|pir||KRHUEB	redundant	35.2	562	59821	keratin, 56K type II cytoskeletal [Homo sapiens].	47	1	0.021	25	22	0	1	3.667	11.102	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
24.0	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	contaminant	53.9	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	211	48	0.227	128	83	27	21	113.734	74.319	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
25.0	1	CONT_089|gi|71536|pir||KRHU2	contaminant	34.3	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	123	4	0.033	74	49	2	2	6.585	5.835	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
26.0	1	CONT_092|gi|71528|pir||KRHU0	contaminant	55.0	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	135	29	0.215	80	55	15	14	65.338	48.250	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
26.01	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	redundant	55.0	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	135	29	0.215	80	55	15	14	65.338	48.250	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
27.0	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	contaminant	28.5	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	27	6	0.222	16	11	3	3	5.413	4.603	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
28.0	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	contaminant	13.8	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	26	1	0.038	15	11	0	1	0.000	1.526	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
29.0	1	CONT_102|gi|88044|pir||S01068	contaminant	6.1	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	6	1	0.167	3	3	0	1	0.000	1.045	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
29.01	1	CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	redundant	4.7	534	57265	KERATIN, TYPE II CYTOSKELETAL 4 (CYTOKERATIN 4) (K4) (CK4) [Homo sapiens].	6	1	0.167	3	3	0	1	0.000	1.045	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
30.0	1	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP	contaminant	3.9	412	46674	KERATIN, TYPE I MICROFIBRILLAR 48 KD, COMPONENT 8C-1 (LOW-SULFUR KERATIN) [Ovis aries].	6	3	0.500	2	4	0	3	0.000	3.088	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
30.01	1	CONT_138|gi|71531|pir||KRSHL1	redundant	3.9	412	46674	keratin, 48K type I microfibrillar, component 8c-1 [Ovis aries].	6	3	0.500	2	4	0	3	0.000	3.088	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
30.02	1	CONT_146|gi|2119208|pir||I37459	redundant	4.4	362	41704	hair keratin acidic 3-II (fragment) [Homo sapiens].	6	3	0.500	2	4	0	3	0.000	3.088	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
30.03	1	CONT_152|gi|2135530|pir||S60034	redundant	3.8	416	47349	keratin Ha1, type I, hair [Homo sapiens].	6	3	0.500	2	4	0	3	0.000	3.088	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
31.0	1	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN	contaminant	35.1	564	60044	KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens].	58	0	0.000	32	26	0	0	4.167	0.000	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
31.01	1	CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	redundant	35.1	564	60199	KERATIN, TYPE II CYTOSKELETAL 6C (CYTOKERATIN 6C) (CK 6C) (K6C KERATIN) [Homo sapiens].	58	0	0.000	32	26	0	0	4.167	0.000	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
32.0	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	contaminant	33.5	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	58	0	0.000	32	26	0	0	3.667	0.000	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940
